texto,sentimiento,tokens,texto_procesado,prediccion_svm,prediccion_nb
producto premium magnífico excepcional muy calidad,positivo,"['product', 'premium', 'magnif', 'excepcional', 'calid']",product premium magnif excepcional calid,positivo,positivo
patético expectativas rendimiento defraudado bajo,negativo,"['patet', 'expect', 'rendimient', 'defraud', 'baj']",patet expect rendimient defraud baj,negativo,negativo
suficiente cubre mínimas aceptable necesidades,neutro,"['suficient', 'cubr', 'minim', 'acept', 'neces']",suficient cubr minim acept neces,neutro,neutro
sin funciona problemas decente particular,neutro,"['funcion', 'problem', 'decent', 'particul']",funcion problem decent particul,neutro,neutro
frágil construcción materiales baratos sin duda pobre,negativo,"['fragil', 'construccion', 'material', 'barat', 'dud', 'pobr']",fragil construccion material barat dud pobr,negativo,negativo
decepcionante publicidad cumple engañosa no promete,negativo,"['decepcion', 'public', 'cumpl', 'engañ', 'promet']",decepcion public cumpl engañ promet,negativo,negativo
aceptable suficiente mínimas cubre necesidades,neutro,"['acept', 'suficient', 'minim', 'cubr', 'neces']",acept suficient minim cubr neces,neutro,neutro
satisfecho superó expectativas compra muy,positivo,"['satisfech', 'super', 'expect', 'compr']",satisfech super expect compr,positivo,positivo
esperaba estrellas cinco totalmente exactamente perfecto,positivo,"['esper', 'estrell', 'cinc', 'total', 'exact', 'perfect']",esper estrell cinc total exact perfect,positivo,positivo
promedio muy bueno malo ni ni,neutro,"['promedi', 'buen', 'mal']",promedi buen mal,neutro,neutro
calidad precio totalmente recomiendo excelente producto,positivo,"['calid', 'preci', 'total', 'recom', 'excelent', 'product']",calid preci total recom excelent product,positivo,positivo
perfecto solución diario uso problema brillante,positivo,"['perfect', 'solucion', 'diari', 'uso', 'problem', 'brillant']",perfect solucion diari uso problem brillant,positivo,positivo
pobre frágil materiales construcción baratos,negativo,"['pobr', 'fragil', 'material', 'construccion', 'barat']",pobr fragil material construccion barat,negativo,negativo
razonable pagado precio correcto para,neutro,"['razon', 'pag', 'preci', 'correct']",razon pag preci correct,neutro,neutro
bueno confiable resistente duradero increíblemente,positivo,"['buen', 'confiabl', 'resistent', 'durader', 'increibl']",buen confiabl resistent durader increibl,positivo,positivo
realmente bueno increíblemente confiable resistente duradero,positivo,"['realment', 'buen', 'increibl', 'confiabl', 'resistent', 'durader']",realment buen increibl confiabl resistent durader,positivo,positivo
gama esperado mediano desempeño media,neutro,"['gam', 'esper', 'median', 'desempeñ', 'medi']",gam esper median desempeñ medi,neutro,neutro
no tiempo pérdida recomiendo dinero,negativo,"['tiemp', 'perd', 'recom', 'diner']",tiemp perd recom diner,negativo,negativo
premium magnífico producto excepcional calidad,positivo,"['premium', 'magnif', 'product', 'excepcional', 'calid']",premium magnif product excepcional calid,positivo,positivo
cliente absolutamente nulo atención servicio deplorable,negativo,"['client', 'absolut', 'nul', 'atencion', 'servici', 'deplor']",client absolut nul atencion servici deplor,negativo,negativo
aceptable muy algo aunque más completo esperaba,neutro,"['acept', 'aunqu', 'complet', 'esper']",acept aunqu complet esper,neutro,neutro
desempeño mediano esperado gama media,neutro,"['desempeñ', 'median', 'esper', 'gam', 'medi']",desempeñ median esper gam medi,neutro,neutro
desproporcionado calidad injusto inaceptable sin duda precio,negativo,"['desproporcion', 'calid', 'injust', 'inacept', 'dud', 'preci']",desproporcion calid injust inacept dud preci,negativo,negativo
genial perfectamente cumple funciones definitivamente satisfecho,positivo,"['genial', 'perfect', 'cumpl', 'funcion', 'definit', 'satisfech']",genial perfect cumpl funcion definit satisfech,positivo,positivo
construcción excelente completamente impresionante calidad durabilidad,positivo,"['construccion', 'excelent', 'complet', 'impresion', 'calid', 'durabil']",construccion excelent complet impresion calid durabil,positivo,positivo
malo llegó dañado tarde servicio horrible,negativo,"['mal', 'lleg', 'dañ', 'tard', 'servici', 'horribl']",mal lleg dañ tard servici horribl,negativo,negativo
lamentable caro mediocre producto sobrevalorado,negativo,"['lament', 'car', 'mediocr', 'product', 'sobrevalor']",lament car mediocr product sobrevalor,negativo,negativo
uso problema perfecto diario brillante solución,positivo,"['uso', 'problem', 'perfect', 'diari', 'brillant', 'solucion']",uso problem perfect diari brillant solucion,positivo,positivo
no sirve insatisfecho compra muy propósito,negativo,"['sirv', 'insatisfech', 'compr', 'proposit']",sirv insatisfech compr proposit,negativo,negativo
gama esperado mediano desempeño completamente media,neutro,"['gam', 'esper', 'median', 'desempeñ', 'complet', 'medi']",gam esper median desempeñ complet medi,neutro,neutro
promedio muy ni bueno ni malo,neutro,"['promedi', 'buen', 'mal']",promedi buen mal,neutro,neutro
producto caro lamentable mediocre sobrevalorado,negativo,"['product', 'car', 'lament', 'mediocr', 'sobrevalor']",product car lament mediocr sobrevalor,negativo,negativo
inseguro abominable absolutamente producto evitar peligroso,negativo,"['insegur', 'abomin', 'absolut', 'product', 'evit', 'peligr']",insegur abomin absolut product evit peligr,negativo,negativo
patético bajo defraudado rendimiento expectativas,negativo,"['patet', 'baj', 'defraud', 'rendimient', 'expect']",patet baj defraud rendimient expect,negativo,negativo
temporal pasable emergencia solución sirve,neutro,"['temporal', 'pasabl', 'emergent', 'solucion', 'sirv']",temporal pasabl emergent solucion sirv,neutro,neutro
hecho mal producto pésimo no funciona,negativo,"['hech', 'mal', 'product', 'pesim', 'funcion']",hech mal product pesim funcion,negativo,negativo
muy compra satisfecho expectativas superó,positivo,"['compr', 'satisfech', 'expect', 'super']",compr satisfech expect super,positivo,positivo
lamentable producto caro mediocre sobrevalorado,negativo,"['lament', 'product', 'car', 'mediocr', 'sobrevalor']",lament product car mediocr sobrevalor,negativo,negativo
cumple perfectamente funciones satisfecho genial,positivo,"['cumpl', 'perfect', 'funcion', 'satisfech', 'genial']",cumpl perfect funcion satisfech genial,positivo,positivo
temporal pasable completamente emergencia solución sirve,neutro,"['temporal', 'pasabl', 'complet', 'emergent', 'solucion', 'sirv']",temporal pasabl complet emergent solucion sirv,neutro,neutro
rápido increíble definitivamente perfecto servicio bien empaquetado,positivo,"['rap', 'increibl', 'definit', 'perfect', 'servici', 'bien', 'empaquet']",rap increibl definit perfect servici bien empaquet,positivo,positivo
estado perfecto buenísimo recomiendo tiempo llegó,positivo,"['perfect', 'buenisim', 'recom', 'tiemp', 'lleg']",perfect buenisim recom tiemp lleg,positivo,positivo
compra fantástico mejor año definitivamente volveré,positivo,"['compr', 'fantast', 'mejor', 'año', 'definit', 'volv']",compr fantast mejor año definit volv,positivo,positivo
totalmente desempeño esperado gama media mediano,neutro,"['total', 'desempeñ', 'esper', 'gam', 'medi', 'median']",total desempeñ esper gam medi median,neutro,neutro
lujos funcional simple básico sin,neutro,"['luj', 'funcional', 'simpl', 'basic']",luj funcional simpl basic,neutro,neutro
cumple perfectamente funciones genial satisfecho,positivo,"['cumpl', 'perfect', 'funcion', 'genial', 'satisfech']",cumpl perfect funcion genial satisfech,positivo,positivo
totalmente común ordinario corriente impresionante nada,neutro,"['total', 'comun', 'ordinari', 'corrient', 'impresion']",total comun ordinari corrient impresion,neutro,neutro
fantástico mejor volveré año bastante definitivamente compra,positivo,"['fantast', 'mejor', 'volv', 'año', 'bastant', 'definit', 'compr']",fantast mejor volv año bastant definit compr,positivo,positivo
esperada totalmente normal básica función cumple,neutro,"['esper', 'total', 'normal', 'basic', 'funcion', 'cumpl']",esper total normal basic funcion cumpl,neutro,neutro
básico extraordinario nada absolutamente adecuado propósito,neutro,"['basic', 'extraordinari', 'absolut', 'adecu', 'proposit']",basic extraordinari absolut adecu proposit,neutro,neutro
precio producto totalmente excelente recomiendo calidad,positivo,"['preci', 'product', 'total', 'excelent', 'recom', 'calid']",preci product total excelent recom calid,positivo,positivo
construcción frágil baratos materiales pobre,negativo,"['construccion', 'fragil', 'barat', 'material', 'pobr']",construccion fragil barat material pobr,negativo,negativo
realmente fácil endeble rompe espantoso construcción calidad,negativo,"['realment', 'facil', 'endebl', 'romp', 'espant', 'construccion', 'calid']",realment facil endebl romp espant construccion calid,negativo,negativo
malas buenas ok está tiene cosas,neutro,"['mal', 'buen', 'cos']",mal buen cos,neutro,neutro
fantástico año volveré compra mejor definitivamente,positivo,"['fantast', 'año', 'volv', 'compr', 'mejor', 'definit']",fantast año volv compr mejor definit,positivo,positivo
fraudulento imitación falsificado producto barata,negativo,"['fraudulent', 'imit', 'falsific', 'product', 'barat']",fraudulent imit falsific product barat,negativo,negativo
desempeño mediano esperado gama media,neutro,"['desempeñ', 'median', 'esper', 'gam', 'medi']",desempeñ median esper gam medi,neutro,neutro
común impresionante corriente nada ordinario,neutro,"['comun', 'impresion', 'corrient', 'ordinari']",comun impresion corrient ordinari,neutro,neutro
destacable descripción cumple sin más,neutro,"['destac', 'descripcion', 'cumpl']",destac descripcion cumpl,neutro,neutro
maravilloso inversión alta vale calidad completamente pena,positivo,"['maravill', 'inversion', 'alta', 'val', 'calid', 'complet', 'pen']",maravill inversion alta val calid complet pen,positivo,positivo
aceptable esperaba algo más sin duda completo aunque,neutro,"['acept', 'esper', 'dud', 'complet', 'aunqu']",acept esper dud complet aunqu,neutro,neutro
tiempo recomiendo dinero realmente pérdida no,negativo,"['tiemp', 'recom', 'diner', 'realment', 'perd']",tiemp recom diner realment perd,negativo,negativo
bajo definitivamente defraudado rendimiento patético expectativas,negativo,"['baj', 'definit', 'defraud', 'rendimient', 'patet', 'expect']",baj definit defraud rendimient patet expect,negativo,negativo
totalmente total nada estafa descripción horrible,negativo,"['total', 'total', 'estaf', 'descripcion', 'horribl']",total total estaf descripcion horribl,negativo,negativo
perfecto exactamente esperaba cinco estrellas,positivo,"['perfect', 'exact', 'esper', 'cinc', 'estrell']",perfect exact esper cinc estrell,positivo,positivo
producto está ciertamente bien nada especial cumple,neutro,"['product', 'ciert', 'bien', 'especial', 'cumpl']",product ciert bien especial cumpl,neutro,neutro
fantástico año volveré compra mejor definitivamente,positivo,"['fantast', 'año', 'volv', 'compr', 'mejor', 'definit']",fantast año volv compr mejor definit,positivo,positivo
muy satisfecho compra superó expectativas,positivo,"['satisfech', 'compr', 'super', 'expect']",satisfech compr super expect,positivo,positivo
lamentable caro mediocre producto sobrevalorado,negativo,"['lament', 'car', 'mediocr', 'product', 'sobrevalor']",lament car mediocr product sobrevalor,negativo,negativo
calidad insuperable precio relación estupendo,positivo,"['calid', 'insuper', 'preci', 'relacion', 'estupend']",calid insuper preci relacion estupend,positivo,positivo
calidad completamente inaceptable precio injusto desproporcionado,negativo,"['calid', 'complet', 'inacept', 'preci', 'injust', 'desproporcion']",calid complet inacept preci injust desproporcion,negativo,negativo
